¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),∞≠ºˆ∑Æ(mm),«≥º”(m/s),Ω¿µµ(%),«ˆ¡ˆ±‚æ–(hPa),«ˆ¡ˆ±‚æ– QC«√∑°±◊,«ÿ∏È±‚æ–(hPa),«ÿ∏È±‚æ– QC«√∑°±◊,¿˚º≥(cm),¿¸øÓ∑Æ(10∫–¿ß),¡ﬂ«œ√˛øÓ∑Æ(10∫–¿ß),øÓ«¸(øÓ«¸æ‡æÓ),√÷¿˙øÓ∞Ì(100m ),¡ˆ∏ÈªÛ≈¬(¡ˆ∏ÈªÛ≈¬ƒ⁄µÂ),¡ˆ∏Èø¬µµ(°∆C),¡ˆ∏Èø¬µµ QC«√∑°±◊,5cm ¡ˆ¡ﬂø¬µµ(°∆C),10cm ¡ˆ¡ﬂø¬µµ(°∆C),20cm ¡ˆ¡ﬂø¬µµ(°∆C),30cm ¡ˆ¡ﬂø¬µµ(°∆C)
101,√·√µ,2025-01-02 3:00,-5.9,,0.1,89,1014.9,,1024.8,,,0,0,,,,-8.2,,-1.1,-0.9,-0.4,0.4
101,√·√µ,2025-01-02 4:00,-6.4,,0,91,1015.1,,1025,,,0,0,,,,-8.7,,-1.3,-1.2,-0.5,0.4
101,√·√µ,2025-01-02 5:00,-6.8,,0.1,93,1015.4,,1025.3,,,0,0,,,,-9.1,,-1.6,-1.3,-0.5,0.4
101,√·√µ,2025-01-02 6:00,-6.3,,0.8,93,1015.4,,1025.3,,,2,0,,,,-9,,-1.8,-1.4,-0.5,0.5
101,√·√µ,2025-01-02 7:00,-7,,0,93,1015.8,,1025.7,,,3,2,,51,,-9,,-2,-1.6,-0.6,0.4
101,√·√µ,2025-01-02 8:00,-7.4,,0.2,93,1016.1,,1026,,,3,1,,,,-8.6,,-2.2,-1.8,-0.7,0.4
101,√·√µ,2025-01-02 9:00,-5.8,,0,92,1016.6,,1026.5,,,6,0,,,,-5.6,,-2.2,-1.7,-0.8,0.4
101,√·√µ,2025-01-02 10:00,-2.7,,0.2,89,1016.9,,1026.7,,,1,0,,,,1.4,,-1.8,-1.5,-0.7,0.5
101,√·√µ,2025-01-02 11:00,-0.4,,0.3,73,1016.4,,1026.1,,,0,0,,,,7.8,,-1.2,-1.1,-0.6,0.5
101,√·√µ,2025-01-02 12:00,2.3,,0.9,62,1015.2,,1024.8,,,0,0,,,,12.8,,-0.7,-0.8,-0.5,0.5
101,√·√µ,2025-01-02 13:00,4.4,,0.6,42,1014,,1023.5,,,0,0,,,,15.2,,-0.3,-0.5,-0.4,0.5
101,√·√µ,2025-01-02 14:00,5.4,,0.5,33,1013.2,,1022.6,,,0,0,,,,13.8,,-0.1,-0.4,-0.3,0.5
101,√·√µ,2025-01-02 15:00,6.6,,1.9,20,1013.3,,1022.7,,,0,0,,,,7.4,,0,-0.3,-0.2,0.5
101,√·√µ,2025-01-02 16:00,5.5,,3.2,20,1013.5,,1022.9,,,0,0,,,,3,,-0.1,-0.3,-0.2,0.5
101,√·√µ,2025-01-02 17:00,3.3,,2.7,23,1013.9,,1023.4,,,0,0,,,,-1.6,,-0.2,-0.4,-0.4,0.5
101,√·√µ,2025-01-02 18:00,1,,1.6,30,1014.5,,1024.1,,,0,0,,,,-4.5,,-0.4,-0.4,-0.4,0.4
101,√·√µ,2025-01-02 19:00,0.1,,1.5,33,1015,,1024.6,,,0,0,,,,-5.2,,-0.5,-0.5,-0.4,0.4
101,√·√µ,2025-01-02 20:00,0.3,,2,44,1015,,1024.6,,,0,0,,,,-4.8,,-0.5,-0.5,-0.4,0.4
101,√·√µ,2025-01-02 21:00,-2.7,,1.8,59,1015,,1024.7,,,0,0,,,,-6.4,,-0.6,-0.6,-0.4,0.4
101,√·√µ,2025-01-02 22:00,-4.6,,0.7,61,1015.1,,1024.9,,,0,0,,,,-7.7,,-0.7,-0.8,-0.4,0.4
101,√·√µ,2025-01-02 23:00,-5.9,,0.4,72,1015.5,,1025.4,,,0,0,,,,-8.6,,-0.9,-1,-0.5,0.4
101,√·√µ,2025-01-03 0:00,-6.2,,1.1,75,1015.7,,1025.6,,,0,0,,,,-8.8,,-1.1,-1.1,-0.4,0.4
101,√·√µ,2025-01-03 1:00,-6.5,,0.6,74,1015.6,,1025.5,,,0,0,,,,-9.6,,-1.3,-1.2,-0.5,0.4
101,√·√µ,2025-01-03 2:00,-7.4,,0.5,75,1015.8,,1025.7,,,0,0,,,,-10.3,,-1.6,-1.4,-0.6,0.4
101,√·√µ,2025-01-03 3:00,-8.6,,0.2,82,1016.2,,1026.2,,,0,0,,,,-10.8,,-1.9,-1.7,-0.6,0.3
101,√·√µ,2025-01-03 4:00,-8.3,,1.4,85,1016.2,,1026.2,,,0,0,,,,-10.7,,-2.3,-1.9,-0.7,0.3
101,√·√µ,2025-01-03 5:00,-8.5,,0.4,70,1016,,1026,,,0,0,,,,-11.3,,-2.5,-2.1,-0.9,0.3
101,√·√µ,2025-01-03 6:00,-9.1,,0,73,1016,,1026,,,0,0,,,,-11.8,,-2.9,-2.3,-1,0.4
101,√·√µ,2025-01-03 7:00,-9.9,,0.7,74,1016.6,,1026.6,,,0,0,,,,-11.8,,-3.1,-2.5,-1.1,0.3
101,√·√µ,2025-01-03 8:00,-9.7,,0.8,77,1017.2,,1027.2,,,0,0,,,,-11.4,,-3.2,-2.7,-1.2,0.3
101,√·√µ,2025-01-03 9:00,-8.3,,0.8,79,1018,,1028,,,0,0,,,,-8.4,,-3.3,-2.7,-1.3,0.3
101,√·√µ,2025-01-03 10:00,-3.9,,0.2,57,1018.2,,1028,,,0,0,,,,0.4,,-2.9,-2.5,-1.2,0.4
101,√·√µ,2025-01-03 11:00,-1.5,,1.3,36,1017.7,,1027.4,,,0,0,,,,7.5,,-2,-1.9,-1.1,0.4
101,√·√µ,2025-01-03 12:00,0.6,,1,26,1016.4,,1026,,,0,0,,,,12.1,,-1.3,-1.4,-0.9,0.4
101,√·√µ,2025-01-03 13:00,1.6,,0.9,25,1015.3,,1024.9,,,1,0,,,,13.3,,-0.8,-1,-0.8,0.3
101,√·√µ,2025-01-03 14:00,1.5,,1.1,26,1014.7,,1024.3,,,5,0,,,,6.3,,-0.7,-0.8,-0.7,0.3
101,√·√µ,2025-01-03 15:00,1.8,,4.9,30,1014.7,,1024.3,,,4,1,,16,,4.9,,-0.5,-0.7,-0.6,0.3
101,√·√µ,2025-01-03 16:00,0.8,,3.9,40,1015.1,,1024.7,,,5,5,,13,,0.5,,-0.5,-0.6,-0.5,0.3
101,√·√µ,2025-01-03 17:00,0,,1.3,41,1015.1,,1024.7,,,5,4,,13,,-2.7,,-0.6,-0.7,-0.6,0.3
101,√·√µ,2025-01-03 18:00,-0.7,,2.2,46,1015.4,,1025.1,,,0,0,,,,-3.9,,-0.6,-0.7,-0.6,0.3
101,√·√µ,2025-01-03 19:00,-1.3,,1.2,52,1016,,1025.7,,,3,0,,,,-4.8,,-0.7,-0.7,-0.5,0.3
101,√·√µ,2025-01-03 20:00,-2.4,,0.8,60,1016.1,,1025.8,,,2,2,,16,,-5.8,,-0.9,-0.9,-0.5,0.2
101,√·√µ,2025-01-03 21:00,-4.4,,1,70,1016.5,,1026.3,,,2,2,,12,,-7.1,,-1.1,-1,-0.6,0.2
101,√·√µ,2025-01-03 22:00,-5.9,,0.3,74,1016.5,,1026.4,,,0,0,,,,-7.9,,-1.3,-1.2,-0.7,0.3
101,√·√µ,2025-01-03 23:00,-6.6,,0.8,78,1016.6,,1026.5,,,6,5,,13,,-7.2,,-1.5,-1.4,-0.7,0.3
101,√·√µ,2025-01-04 0:00,-5.7,,0.3,79,1016.3,,1026.1,,,6,4,,11,,-6.9,,-1.6,-1.4,-0.7,0.3
101,√·√µ,2025-01-04 1:00,-6.3,,0.4,81,1016.5,,1026.4,,,0,0,,,,-8.7,,-1.8,-1.6,-0.7,0.3
101,√·√µ,2025-01-04 2:00,-6.9,,0.3,86,1016.8,,1026.7,,,0,0,,,,-9.6,,-2.1,-1.8,-0.9,0.3
101,√·√µ,2025-01-04 3:00,-7.5,,0.8,88,1017.3,,1027.2,,,0,0,,,,-9.9,,-2.4,-2,-1,0.2
101,√·√µ,2025-01-04 4:00,-8.6,,0,87,1017,,1027,,,0,0,,,,-10.5,,-2.7,-2.1,-1.1,0.2
101,√·√µ,2025-01-04 5:00,-9.3,,0.9,89,1017.2,,1027.2,,,0,0,,,,-10.9,,-3,-2.4,-1.2,0.2
101,√·√µ,2025-01-04 6:00,-9.5,,0.6,91,1017.7,,1027.7,,,0,0,,,,-11.3,,-3.2,-2.6,-1.4,0.2
101,√·√µ,2025-01-04 7:00,-9.9,,0.9,92,1018.1,,1028.1,,,0,0,,,,-11.5,,-3.4,-2.8,-1.5,0.2
101,√·√µ,2025-01-04 8:00,-10.1,,0,92,1018.3,,1028.4,,,0,0,,,,-11.3,,-3.5,-2.9,-1.6,0.2
101,√·√µ,2025-01-04 9:00,-8.3,,0,94,1018.7,,1028.7,,,0,0,,,,-8.3,,-3.6,-3,-1.5,0.1
101,√·√µ,2025-01-04 10:00,-5.2,,0.8,86,1018.8,,1028.7,,,0,0,,,,0.7,,-3.1,-2.7,-1.5,0.2
101,√·√µ,2025-01-04 11:00,-1.9,,0.5,62,1018.6,,1028.3,,,0,0,,,,7.6,,-2.2,-2.1,-1.4,0.2
101,√·√µ,2025-01-04 12:00,-0.5,,1.1,48,1017.8,,1027.5,,,0,0,,,,12.3,,-1.4,-1.6,-1.2,0.2
101,√·√µ,2025-01-04 13:00,1.7,,0.5,34,1017.1,,1026.7,,,0,0,,,,14,,-0.8,-1.1,-0.9,0.2
101,√·√µ,2025-01-04 14:00,3.8,,0.9,25,1016.5,,1026,,,0,0,,,,12.8,,-0.5,-0.8,-0.7,0.2
101,√·√µ,2025-01-04 15:00,4.1,,1.6,21,1016.2,,1025.7,,,0,0,,,,6.2,,-0.3,-0.6,-0.7,0.2
101,√·√µ,2025-01-04 16:00,4.2,,2.4,20,1016.2,,1025.7,,,0,0,,,,2.3,,-0.3,-0.5,-0.6,0.2
101,√·√µ,2025-01-04 17:00,2.6,,2.3,23,1016.3,,1025.9,,,0,0,,,,-2.1,,-0.5,-0.6,-0.6,0.2
101,√·√µ,2025-01-04 18:00,1.5,,1.5,26,1016.6,,1026.2,,,0,0,,,,-4.1,,-0.6,-0.6,-0.6,0.1
101,√·√µ,2025-01-04 19:00,-2,,1.5,41,1017,,1026.7,,,5,4,,15,,-5.2,,-0.6,-0.8,-0.7,0.2
101,√·√µ,2025-01-04 20:00,-2.7,,0.5,48,1016.9,,1026.7,,,7,7,,17,,-3.6,,-0.7,-0.8,-0.6,0.1
101,√·√µ,2025-01-04 21:00,-3.5,,0.8,52,1016.4,,1026.2,,,3,2,,15,,-6.1,,-0.8,-0.9,-0.6,0.1
101,√·√µ,2025-01-04 22:00,-3.9,,0.7,55,1017,,1026.8,,,9,9,,11,,-3.4,,-1,-1,-0.6,0.2
101,√·√µ,2025-01-04 23:00,-3.2,,0.6,61,1016.3,,1026.1,,,7,7,,11,,-3,,-0.9,-1,-0.6,0.2
101,√·√µ,2025-01-05 0:00,-4.1,,0.4,65,1015.8,,1025.6,,,4,4,,11,,-6,,-1,-1.1,-0.6,0.2
101,√·√µ,2025-01-05 1:00,-4.7,,1.2,68,1015.3,,1025.1,,,6,6,,12,,-5.6,,-1.2,-1.2,-0.7,0.2
101,√·√µ,2025-01-05 2:00,-5.3,,1.1,72,1014.6,,1024.4,,,8,2,,15,,-6.7,,-1.3,-1.3,-0.7,0.2
101,√·√µ,2025-01-05 3:00,-5.1,,0.7,76,1014.6,,1024.4,,,10,1,,17,,-6.2,,-1.5,-1.4,-0.8,0.2
101,√·√µ,2025-01-05 4:00,-3.8,,1.2,72,1014.2,,1024,,,10,6,,10,,-3.4,,-1.4,-1.4,-0.8,0.2
101,√·√µ,2025-01-05 5:00,-3.4,,0.6,72,1013.7,,1023.5,,,10,3,,2,,-3,,-1.4,-1.4,-0.8,0.2
101,√·√µ,2025-01-05 6:00,-3.6,,0.6,84,1013.3,,1023.1,,,9,7,,11,,-2.9,,-1.3,-1.3,-0.8,0.2
101,√·√µ,2025-01-05 7:00,-3.2,,0.1,86,1013.2,,1022.9,,,10,7,,5,,-2.6,,-1.3,-1.2,-0.8,0.2
101,√·√µ,2025-01-05 8:00,-3.3,,0.6,93,1013.2,,1022.9,,0.8,10,1,,6,,-2.4,,-1.2,-1.2,-0.8,0.2
101,√·√µ,2025-01-05 9:00,-2.9,1,0.1,94,1013.1,,1022.8,,1.3,10,5,,,,-1.9,,-1.2,-1.1,-0.7,0.2
101,√·√µ,2025-01-05 10:00,-2.3,,0.7,95,1012.8,,1022.5,,4.5,9,9,,2,,-1.4,,-1,-1,-0.7,0.1
101,√·√µ,2025-01-05 11:00,-1.7,,0.2,91,1012.2,,1021.9,,4.8,9,9,,5,,-1,,-0.9,-1,-0.6,0.2
101,√·√µ,2025-01-05 12:00,-1.5,2.6,0.2,92,1011.8,,1021.5,,5.5,9,2,,3,,-1,,-0.9,-0.9,-0.6,0.2
101,√·√µ,2025-01-05 13:00,-0.9,,1.1,93,1010.8,,1020.4,,5.7,9,9,,4,,-0.8,,-0.8,-0.8,-0.6,0.2
101,√·√µ,2025-01-05 14:00,-0.1,,0.4,92,1010.1,,1019.7,,6.4,10,5,,5,,-0.7,,-0.8,-0.7,-0.6,0.2
101,√·√µ,2025-01-05 15:00,0.2,1.4,0,89,1009.5,,1019.1,,6.8,9,5,,5,,-0.6,,-0.7,-0.7,-0.5,0.2
101,√·√µ,2025-01-05 16:00,0.2,,0.6,91,1009.2,,1018.8,,6.6,9,6,,5,,-0.6,,-0.7,-0.7,-0.5,0.2
101,√·√µ,2025-01-05 17:00,0.2,,0.3,92,1009.4,,1019,,6.5,9,7,,5,,-0.7,,-0.7,-0.6,-0.5,0.2
101,√·√µ,2025-01-05 18:00,-0.1,,0.6,93,1009.4,,1019,,6.5,9,7,,4,,-0.7,,-0.6,-0.6,-0.5,0.2
101,√·√µ,2025-01-05 19:00,-0.4,,0.1,94,1009.5,,1019.1,,6.5,9,5,,4,,-0.9,,-0.6,-0.6,-0.4,0.2
101,√·√µ,2025-01-05 20:00,-0.2,,0,95,1009.8,,1019.4,,6.4,8,8,,3,,-0.9,,-0.6,-0.6,-0.5,0.2
101,√·√µ,2025-01-05 21:00,-0.2,,0,95,1009.5,,1019.1,,6.4,9,4,,1,,-0.8,,-0.6,-0.6,-0.5,0.2
101,√·√µ,2025-01-05 22:00,-0.1,,0,95,1009.1,,1018.7,,6.4,9,3,,2,,-0.7,,-0.6,-0.6,-0.5,0.3
101,√·√µ,2025-01-05 23:00,-0.1,,0,95,1008.8,,1018.4,,6.3,8,4,,2,,-0.8,,-0.5,-0.5,-0.5,0.2
101,√·√µ,2025-01-06 0:00,-0.1,0.1,0.2,95,1008.2,,1017.8,,6.3,9,9,,3,,-0.7,,-0.5,-0.5,-0.4,0.2
101,√·√µ,2025-01-06 1:00,0,,0.6,95,1007.4,,1017,,6.3,7,7,,2,,-0.7,,-0.5,-0.5,-0.4,0.3
101,√·√µ,2025-01-06 2:00,0,,0.2,97,1006.9,,1016.5,,6.9,7,7,,1,,-0.7,,-0.5,-0.5,-0.4,0.2
101,√·√µ,2025-01-06 3:00,0.1,0.7,0.7,98,1006.6,,1016.2,,7.2,10,7,,1,,-0.6,,-0.5,-0.5,-0.4,0.2
101,√·√µ,2025-01-06 4:00,0.1,,1,98,1006.1,,1015.7,,8.7,10,3,,,,-0.6,,-0.5,-0.5,-0.4,0.3
101,√·√µ,2025-01-06 5:00,0.1,,0.7,98,1005.7,,1015.2,,9.2,10,8,,,,-0.6,,-0.5,-0.4,-0.4,0.2
101,√·√µ,2025-01-06 6:00,0,2.6,0.3,98,1005.4,,1014.9,,9.4,7,7,,,,-0.5,,-0.5,-0.4,-0.4,0.3
101,√·√µ,2025-01-06 7:00,0,,0,98,1005.9,,1015.5,,9.3,8,8,,2,,-0.5,,-0.5,-0.5,-0.4,0.2
101,√·√µ,2025-01-06 8:00,0,,0,97,1006.1,,1015.7,,9,8,7,,,,-0.5,,-0.4,-0.4,-0.4,0.3
101,√·√µ,2025-01-06 9:00,0.4,0.1,0,98,1006,,1015.5,,9,8,8,,,,-0.5,,-0.5,-0.4,-0.3,0.2
101,√·√µ,2025-01-06 10:00,0.8,,0.4,95,1006,,1015.5,,8.7,8,8,,,,-0.4,,-0.4,-0.4,-0.3,0.3
101,√·√µ,2025-01-06 11:00,1.5,,0,93,1005.9,,1015.4,,8.3,8,8,,,,-0.4,,-0.3,-0.4,-0.3,0.3
101,√·√µ,2025-01-06 12:00,1.9,0.3,0.9,93,1005.2,,1014.7,,7.3,8,8,,1,,-0.3,,-0.4,-0.4,0,0.3
101,√·√µ,2025-01-06 13:00,2.6,,0.6,88,1004.6,,1014,,6.4,8,4,,3,,-0.2,,-0.4,-0.3,0,0.3
101,√·√µ,2025-01-06 14:00,2.6,,3.3,79,1004.6,,1014,,5.8,8,1,,9,,-0.2,,-0.3,-0.3,-0.1,0.3
101,√·√µ,2025-01-06 15:00,3.9,,2.9,61,1004.7,,1014.1,,4.6,7,1,,9,,0,,-0.2,-0.2,-0.1,0.3
101,√·√µ,2025-01-06 16:00,2.7,,2.6,62,1005.2,,1014.6,,3.8,5,1,,13,,0,,-0.1,-0.3,0,0.3
101,√·√µ,2025-01-06 17:00,1.7,,3,58,1005.8,,1015.3,,3.4,5,4,,13,,-0.1,,-0.2,-0.3,-0.1,0.3
101,√·√µ,2025-01-06 18:00,0.7,,2.7,63,1006.7,,1016.2,,3.2,8,8,,11,,-0.1,,-0.3,-0.3,-0.2,0.3
101,√·√µ,2025-01-06 19:00,0.1,,2.1,62,1007.6,,1017.2,,3.2,8,8,,11,,-0.1,,-0.3,-0.4,-0.2,0.3
101,√·√µ,2025-01-06 20:00,-0.9,,1.5,64,1008.2,,1017.8,,3.2,5,5,,10,,-0.2,,-0.3,-0.4,-0.2,0.3
101,√·√µ,2025-01-06 21:00,-1.2,,2.5,59,1008.6,,1018.2,,3.2,7,7,,11,,-0.2,,-0.3,-0.3,-0.2,0.2
101,√·√µ,2025-01-06 22:00,-1.8,,3.1,59,1009,,1018.6,,3.2,6,6,,12,,-0.2,,-0.3,-0.3,-0.2,0.2
101,√·√µ,2025-01-06 23:00,-2.7,,2,58,1009.4,,1019.1,,3.2,3,3,,11,,-0.3,,-0.4,-0.4,-0.3,0.3
101,√·√µ,2025-01-07 0:00,-3.4,,1.8,55,1009.3,,1019,,3.2,8,8,,,,-0.3,,-0.4,-0.3,-0.3,0.3
101,√·√µ,2025-01-07 1:00,-3.9,,2.2,52,1009.1,,1018.8,,3.2,0,0,,,,-0.4,,-0.4,-0.3,-0.3,0.3
101,√·√µ,2025-01-07 2:00,-4.2,,2.1,56,1008.9,,1018.6,,3.2,0,0,,,,-0.6,,-0.4,-0.5,-0.3,0.2
101,√·√µ,2025-01-07 3:00,-4.8,,1.8,59,1009.2,,1019,,3.2,0,0,,,,-0.7,,-0.5,-0.5,-0.4,0.3
101,√·√µ,2025-01-07 4:00,-5.1,,1.4,58,1008.8,,1018.6,,3.2,0,0,,,,-0.8,,-0.6,-0.5,-0.3,0.3
101,√·√µ,2025-01-07 5:00,-5.8,,1.9,58,1008.7,,1018.5,,3.2,0,0,,,,-1.1,,-0.8,-0.6,-0.4,0.3
101,√·√µ,2025-01-07 6:00,-8.9,,0.4,77,1008.8,,1018.7,,3.2,0,0,,,,-1.6,,-0.9,-0.6,-0.4,0.2
101,√·√µ,2025-01-07 7:00,-10.8,,0.5,84,1009.4,,1019.4,,3.2,0,0,,,,-2.2,,-1.1,-0.7,-0.5,0.2
101,√·√µ,2025-01-07 8:00,-10.9,,0.3,86,1009.6,,1019.6,,3.2,0,0,,,,-2.8,,-1.3,-0.9,-0.4,0.2
101,√·√µ,2025-01-07 9:00,-9.2,,0.4,85,1009.6,,1019.5,,3.1,0,0,,,,-3,,-1.4,-0.8,-0.4,0.2
101,√·√µ,2025-01-07 10:00,-5.8,,1,69,1009.6,,1019.4,,2.8,0,0,,,,-2.3,,-1.2,-0.7,-0.2,0.3
101,√·√µ,2025-01-07 11:00,-2,,1,44,1009,,1018.7,,2.6,0,0,,,,-1.1,,-1,-0.6,-0.2,0.3
101,√·√µ,2025-01-07 12:00,-0.6,,1.4,37,1007.7,,1017.3,,2.5,0,0,,,,-0.5,,-0.8,-0.5,-0.1,0.3
101,√·√µ,2025-01-07 13:00,-0.6,,4.7,38,1006.7,,1016.3,,2.4,4,0,,,,-0.3,,-0.7,-0.4,-0.1,0.3
101,√·√µ,2025-01-07 14:00,0.4,,2.4,39,1006.1,,1015.6,,2.3,4,0,,,,-0.2,,-0.6,-0.4,-0.1,0.4
101,√·√µ,2025-01-07 15:00,-0.8,,3.9,38,1006.4,,1016,,2.4,4,1,,19,,-0.3,,-0.6,-0.5,-0.2,0.3
101,√·√µ,2025-01-07 16:00,-0.6,,3.7,39,1006.9,,1016.5,,2.4,5,5,,16,,-0.5,,-0.6,-0.4,-0.2,0.3
101,√·√µ,2025-01-07 17:00,-1.4,,2.8,44,1007.2,,1016.8,,2.4,6,1,,11,,-0.8,,-0.6,-0.5,-0.3,0.3
101,√·√µ,2025-01-07 18:00,-1.6,,2.5,49,1007.8,,1017.4,,2.4,5,3,,11,,-1.1,,-0.7,-0.5,-0.3,0.3
101,√·√µ,2025-01-07 19:00,-1.9,,2.6,53,1008.3,,1017.9,,2.4,1,1,,12,,-1.3,,-0.8,-0.6,-0.3,0.3
101,√·√µ,2025-01-07 20:00,-2.3,,2.1,48,1008.9,,1018.6,,2.4,0,0,,,,-1.7,,-0.8,-0.5,-0.4,0.2
101,√·√µ,2025-01-07 21:00,-2.7,,2.3,45,1009.2,,1018.9,,2.4,0,0,,,,-2.1,,-0.9,-0.6,-0.4,0.2
101,√·√µ,2025-01-07 22:00,-4,,1.5,47,1009.3,,1019,,2.5,0,0,,,,-2.6,,-1,-0.7,-0.4,0.2
101,√·√µ,2025-01-07 23:00,-3.6,,3,43,1009.5,,1019.2,,2.5,0,0,,,,-2.8,,-1.1,-0.7,-0.4,0.3
101,√·√µ,2025-01-08 0:00,-4.9,,1.6,53,1009.5,,1019.3,,2.5,0,0,,,,-3,,-1.2,-0.8,-0.4,0.3
101,√·√µ,2025-01-08 1:00,-8.3,,1,71,1009.5,,1019.4,,2.5,0,0,,,,-3.5,,-1.4,-1.1,-0.4,0.2
101,√·√µ,2025-01-08 2:00,-9.3,,1.2,77,1009.7,,1019.6,,2.5,0,0,,,,-4.1,,-1.6,-1.1,-0.5,0.2
